Line,Score
"The angle of the first minimum (surrounding the central spot) is given by sin 0 = 1.22 XI b, where b is the diameter of the lens.",-0.5574
Diffraction can also be a bad thing.,-0.5423
"You will need the approximation sin 0 ~ tan 0 ~ 0 , which is valid for small angles measured in radians.",-0.5267
"Figure (a), although essentially correct, is a little unrealistic because the waves beyond the barrier would be much weaker.",-0.5267
"64

Chapter 5 Wave Optics



Example: Spacing of the fringes at small angles At small angles, we can use the approximation sin 0 ~ 0 , which is valid if 6 is measured in radians.",-0.5267
What happens if the mirrors are not perfectly perpendicular?,-0.5216
"Galileo tried, and failed, to detect a finite speed for light, by arranging with a person in a distant tower to signal back and forth with lanterns.",-0.5106
"For instance, the planets do not experience any friction as they travel through empty space, so there is no frictional heating.",-0.5046
"Newton knew that waves exhibited diffraction, but diffraction of light is difficult to observe, so Newton believed that light did not exhibit diffraction, and therefore must not be a wave.",-0.5023
"Newton wrote a book on optics, and his prestige and political prominence tended to discourage questioning of his model.",-0.4939
"By understanding diffraction, one can learn how a telescope must be designed in order to reduce this problem — essentially, it should have the biggest possible diameter.",-0.481
"One piece of evidence that the candle sends out stuff that travels to your eye is that intervening transparent substances can make the candle appear to be in the wrong location, suggesting that light is a thing that can be bumped off course.",-0.4767
"In his

Optics, Newton goes out of his way to caution the reader against this, saying that some people “consider... the refraction of... rays to be the bending or breaking of them in their passing out of one medium into another.” But a ray is a record of the path traveled by light, not a physical thing that can be bent or broken.",-0.4767
"In astronomy the objects being used are always at infinity, so a spherical mirror is a poor choice for a telescope.",-0.4767
"(The first syllable rhymes with “boy.”) Huygens’ principle states that any wavefront can be broken down into many small side-by-side wave peaks, (b), which then spread out as circular ripples, (c), and by the principle of superposition, the result of adding up these sets of ripples must give the same result as allowing the wave to propagate forward, (d).",-0.4767
"bince the wavelengths ot radio waves are thousands ot times longer, diffraction causes the resolution ot a radio telescope to be thousands of times worse, all other things being equal.",-0.4767
Ugh!,-0.4753
The use of the word “real” is perhaps unfortunate.,-0.4588
"The trouble with memorization and plug-ins is that they can obscure what’s really going on, and it is easy to get them wrong.",-0.4404
"• When representing diffuse reflection in a ray diagram, many students

have a mental block against drawing many rays fanning out from the same point.",-0.4404
"A rough surface gives diffuse reflection, where a single ray of light is divided up into many weaker reflected rays going in many directions.",-0.4404
What you’re really learning about here is the basic building block of all optical devices from movie projectors to octopus eyes.,-0.4404
"One way of decreasing aberration is to use a small-diameter mirror or lens, or block most of the light with an opaque screen with a hole in it, so that only light that comes in close to the axis can get through.",-0.4404
It’s not mainly a question of picking up weak signals.,-0.4404
Note that you will have to tilt the mirror a little so that the paper on which you project the image doesn’t block the light from the illuminated object.,-0.4404
"Although the pattern goes up and down, the general trend is that the farther away we get from the center, the weaker it gets.",-0.4404
"Most people would disagree if you told them that light was reflected from the book to the eye, because they think of reflection as something that mirrors do, not something that a book does.",-0.4336
• The reflected ray lies in the plane containing the incident ray and the normal (perpendicular) line.,-0.4215
"Since each ray of type c forms the same angles with the mirror as its partner of type a, we see that the distance of the image from the mirror is the same as the actual face from the mirror, and lies directly across from it.",-0.4215
"The first thing to observe about is that just as with reflection, the new, bent part of the ray lies in the same plane as the normal (perpendicular) and the incident ray, (c).",-0.4215
"Often, as in example (b), the problem is the misconception that light can only be reflected in one direction from one point.",-0.4019
"Summary

23





Homework Problems

1.",-0.4019
I A problem that requires calculus.,-0.4019
"A variety of images occur in the painting, some distorted, as a result of both reflection and refraction (ch.",-0.4019
"If you couldn’t draw a ray diagram that seemed to result in an image, the problem was probably that you didn’t choose any rays that happened to go away from the face in the right direction to hit the mirror.",-0.4019
I A problem that requires calculus.,-0.4019
"(1) If p and n2 are equal, Snell’s law becomes sin 0,=sin 02, which implies The graph would be a straight line along the diagonal of the graph.",-0.4019
"Section Summary

53





Homework Problems

1.",-0.4019
I A problem that requires calculus.,-0.4019
"54

Chapter 4 Refraction and Images





'( 1



Problem 8.",-0.4019
"Figure (a) shows a typical problem in wave optics, enacted with water waves.",-0.4019
Understanding diffraction is the central problem of wave optics.,-0.4019
"If you understand diffraction, even the subset of diffraction problems that fall within restrictions (2) and (3), the rest of wave optics is icing on the cake.",-0.4019
"Summary

69





Homework Problems

1.",-0.4019
j A problem that requires calculus.,-0.4019
Forgetting this is a very common mistake.,-0.3976
In my opinion it is not particularly worthy of memorization.,-0.3865
"It is not particularly important to know the equation that tells what fraction is transmitted (and thus refracted), but important technologies such as fiber optics are based on the fact that this fraction becomes zero for sufficiently oblique angles.",-0.3854
"If you are wearing glasses right now, then the light rays from the page are being manipulated first by your glasses and then by the lens of your eye.",-0.3818
That would just be too bizarre to believe!,-0.3802
"Again, the rapidity of the effect makes it difficult to tell what’s happening.",-0.3612
"Does it also send out its own mysterious “ceiling rays,” contributing to a threeway collision at the book?",-0.3612
"For instance, wave interference effects are often detectable, if small, when light passes around an obstacle that is quite a bit

Section 1.3 The Ray Model of Light

17





bigger than a wavelength.",-0.3612
Why would this make it difficult to detect via radar?,-0.3612
"This is the kind of thing the physicist Eugene Wigner referred to as “the unreasonable effectiveness of mathematics.” Sometimes we can find a deeper reason for this kind of unexpected simplicity, but sometimes it almost seems as if God went out of Her way to make the secrets of universe susceptible to attack by the human thought-tool called math.",-0.3612
when the ray strikes the interface at an oblique or grazing angle.,-0.3612
Diffraction can be defined as the behavior of a wave when it encounters an obstacle or a nonuniformity in its medium.,-0.3612
"In some ways it might have been more appropriate to insert this chapter at the end of book 3, Vibrations and Waves, but many of the important applications are to light waves, and you would probably have found these much more difficult without any background in optics.",-0.359
"The answer is that all the light is reflected, so there is no refracted ray.",-0.3535
Otherwise they would not fit inside the telescope or the camera!,-0.3404
"• Another difficulty associated with diffuse reflection, example (c), is the

tendency to think that in addition to drawing many rays coming out of one point, we should also be drawing many rays coming from many points.",-0.34
"You may want to start by considering the case where the ray comes in parallel to one of the planes, in which case the problem can be treated two-dimensionally.",-0.34
Many people are confused by the relationship between sound and light.,-0.3182
There is an obvious delay between when you see their palms come together and when you hear the clap.,-0.3182
"Radar works by bouncing radio waves off of objects and inferring the distance to the object from the time delay of the reflected “echo.” As we’ve discussed in book 4, radio waves are really a form of light whose “color” is just way off the red end of the visible rainbow.",-0.3182
How accurate does the measurement of the time delay have to be to determine your position to this accuracy?,-0.3182
that the value of ^.should be negative when the image is a virtual image formed by an inbending mirror.,-0.3182
Does this contradict the correspondence principle?,-0.3182
"We might expect this to result in a very chaotic situation, but amazingly enough, the electrons move together to produce a new, reflected beam of light, which obeys two simple rules:

• The angle of the reflected ray is the same as that of the incident ray.",-0.3064
Certainly there is no obvious time lag between the moment when you move your head and the moment when your reflection in the mirror moves.,-0.296
"Today, photography provides the simplest experimental evidence that nothing has to be emitted from your eye and hit the leaf in order to make it “greenify.” A camera can take a picture of a leaf even if there are no eyes anywhere nearby.",-0.296
"If the process of seeing the distant moon was instantaneous, there would be no reason for the two to get out of step.",-0.296
"The fundamental distinction between sound and light is that sound is an oscillation in air pressure, so it requires air (or some other medium such as water) in which to travel.",-0.296
"If you are looking down at the reflecting surface, there is no way for your eye-brain system to tell that the rays are not really coming from a sun down below you.",-0.296
"Experiments show that electric and magnetic fields do not deflect light beams, so apparently light has no electric charge.",-0.296
"However, this new image would only be visible from high up, and the person can no longer see his own image.",-0.296
We now pass to our first nontrivial example of the manipulation of an image by technology: an image in a curved mirror.,-0.296
"Because refraction is time-reversal symmetric, there is no need to label the rays with arrowheads.",-0.296
"sin 02

The value of the constant would depend on the combination of media used.",-0.296
"C. There are three qualitatively different types of image formation that can occur with lenses, of which figures (a) and (b) exhaust only two.",-0.296
No.,-0.296
"Section 1.2 Interaction of Light with Matter

15





Figure (b) shows another example of how we can’t avoid the conclusion that light bounces off of things other than mirrors.",-0.2732
The kind of phenomenon described by restriction (1) is called diffraction.,-0.2732
"Since rays at sufficiently large angles with respect to the normal may be completely reflected, it is not surprising that the relative amount of reflection changes depending on the angle of incidence, and is weakest for small angles of incidence.",-0.2533
The ones that strike the mirror will strike it along the normal and be reflected back along the same path.,-0.25
"If you ask the average person how we see a light bulb, the most likely answer is “The light bulb makes light, which hits our eyes.” But if you ask how we see a book, they are likely to say “The bulb lights up the room, and that lets me see the book.” All mention of light actually entering our eyes has mysteriously disappeared.",-0.2263
"The alert reader may have noticed that the wave model is required at scales smaller than a wavelength of light (on the order of a micrometer for visible light), and the particle model is demanded on the atomic scale or lower (a typical atom being a nanometer or so in size).",-0.2263
"(This is assuming that it was tuned to the right frequency at the right time, and that the signals came from within the limited field of view it sweeps out as the world spins.)",-0.2263
"For ease of visualization, I have violated our usual rule of only considering points very far from the diffracting object.",-0.2263
"No, the reason it has to be so big is a matter of wave optics.",-0.2111
"In contrast, a book sliding across a table does generate heat from friction as it slows down, and it is therefore not surprising that this type of motion does not appear to obey time-reversal symmetry.",-0.2057
"This is not surprising — it is typical behavior for a wave, and light is a wave.",-0.2057
"On reflection, the rays are still diverging, just not as strongly diverging.",-0.2057
"Continuing this line of thought, it is not surprising that we observe very little reflection at an interface between media with similar indices of refraction.",-0.2057
Research in physics eduction has shown conclusively that the mere assertion that light is an electromagnetic wave is woefully insufficient to allow a student to interpret ordinary phenomena involving light.,-0.2023
Match gratings A-C with the diffraction patterns 1 -3 that they produce.,-0.2023
"We know from our discussion of the scaling of diffraction that there must be some equation that relates an angle like 0Z to the ratio XI d,

X / d 0j7

If the equation for 0Z depended on some other expression such as X+d or X2ld, then it would change when we scaled X and dby the same factor, which would violate what we know about the scaling of diffraction.",-0.1779
"The angles of the maxima (brightest points in the bright fringes) and minima (darkest points in the dark fringes) are given by the equation

A _ sin 9

d m

where d is the center-to-center spacing of the slits, and m is an integer at a maximum or an integer plus 1/2 at a minimum.",-0.1779
"The tube of the telescope is not vital; it is mainly a structural element, although it can also be helpful for blocking out stray light.",-0.1749
"If a leaf, for instance, happened to be present at the site of the collision between your eye’s stuff and the candle’s stuff, then the leaf would be stimulated to express its green nature, allowing you to perceive it as green.",-0.1531
Galileo was unable to measure any time lag that was significant compared to the limitations of human reflexes.,-0.1531
Explain why a radio ray that strikes it from any angle is guaranteed to go straight back and be detected.,-0.1531
"There is also a tricky and simple proof, shown in the bottom panel of the figure, for the more general case where the points are at different distances from the surface.",-0.1531
"a sample under lower pressure), but why would it not make sense for the index of refraction of a gas to be proportional to density?",-0.1531
"To make the antenna select signals from only a certain direction in space and reject those coming from other angles, it must be as large as possible compared to the wavelength of a radio wave.",-0.1531
"In many cases the equation looks just like XId = sin Qhn but with an extra numerical factor thrown in, and with d interpreted as some other dimension of the object, e.g.",-0.1406
This technique for seeing around corners is useful for making surgery less traumatic.,-0.1298
"Instead of cutting a person wide open, a surgeon can make a small “keyhole” incision and insert a bundle of fiberoptic cable (known as an endoscope) into the body.",-0.128
Lens 3 is made by cutting through lens 1 and turning the bottom around.,-0.128
Lens 4 is made by cutting a central circle out of lens 1 and recessing it.,-0.128
"Section 5.5 Double-Slit Diffraction

63



m=0 Jr 1



(f) Cutting c/in half doubles the angles the diffraction fringes.",-0.128
"Having already been introduced to the concept of light as an electromagnetic wave, you know that the ray model is not the ultimate truth about light, but the ray model is simpler, and in any case science always deals with models of reality, not the ultimate nature of reality.",-0.1232
"Christian fundamentalists who perceive a conflict between evolution and their religion have claimed that the eye is such a perfect device that it could never have arisen through a process as helter-skelter as evolution, or that it could not have evolved because half of an eye would be useless.",-0.1027
"Alternatively, a bundle of cables can be used, since a single thick cable is too hard to bend.",-0.1027
"Now if A/ d is small, sin 0 must be small as well, and the spacing between the diffraction fringes will be small as well.",-0.1027
Such an object is called a diffraction grating.,-0.1027
"By repeating a double-slit pattern hundreds or thousands of times, we obtain a diffraction grating.",-0.1027
A transmission grating with 2000 lines/cm is illuminated by a beam of 694.3-nm light from a laser.,-0.1027
"In the Greek theory, the light from the bulb and my mysterious “eye rays” are both supposed to go to the book, where they collide, allowing me to see the book.",-0.0772
The stealth bomber is flat on the bottom.,-0.0772
"The Stealth bomber is designed with flat, smooth surfaces.",-0.0772
"Thus, at the interface between media with the same index of refraction, there is no reflection, and the ray keeps going straight.",-0.0772
"It will still take two right turns, but since it is entering the lens at a steeper angle, it will also leave at a steeper angle.",-0.0772
"When swimming underwater, why is your vision made much clearer by wearing goggles with flat pieces of glass that trap air behind them?",-0.0772
"That is, if we enlarge or reduce the whole diffraction situation by the same factor, including both the wavelengths and the sizes of the obstacles the wave encounters, the result is still a valid solution.",-0.0772
"Because the paths lengths traveled from slits A and C differ from half a wavelength, there will be perfect destructive interference between these two waves.",-0.0772
"(3) In figure (a) we can see that the wave pattern immediately beyond the barrier is rather complex, but farther on it sorts itself out into a set of wedges separated by gaps in which the water is still.",-0.0644
"None of this contradicts the correspondence principle, which only states that the wave model must agree with the ray model when the ray model is applicable.",-0.0644
"First bring this page and closer to your eyes, until you can no longer focus on it without straining.",-0.0613
"By using it we can discuss the path taken by the light, without committing ourselves to any specific description of what it is that is moving along that path.",-0.0572
"A book lying still on a flat table is never observed to spontaneously start sliding, sucking up heat energy and transforming it into kinetic energy.",-0.0516
"Instead, it turns out that we can use just one equation for the location of the image and one equation for its magnification, and these two equations work in all the different cases with no changes except for plus and minus signs.",-0.0516
"Section 4.1

Refraction

45





Snell’s law

The numerical rule governing refraction was discovered by Snell, who must have collected experimental data something like what is shown on this graph and then attempted by trial and error to find the right equation.",-0.0516
"For simplicity pretend that there is no eye behind the glasses, (b) Using reasoning like that developed in the previous chapter,

determine the positive and negative signs in the equation

i

/

-+J

di

+ 1

d o'

(c) If the focal length of the lens is 50 cm, and the person is looking at an object at a distance of 80 cm, locate the image.",-0.0516
"Along the central maximum line, X, we always have positive waves coinciding with positive ones and negative waves coinciding with negative ones.",-0.0516
"Homework Problems

71



72



Exercises

Exercise 2A: Exploring Images With a Curved Mirror

Equipment:

curved mirrors like the ones described in this chapter curved mirrors that bulge outward (for part 6 only)

1.",-0.0516
"Also, a light bulb has a near vacuum inside, but that does not prevent the light from getting out.",-0.0286
"Modern people might feel uneasy about this theory, since it suggests that greenness exists only for our seeing convenience, implying a human precedence over natural phenomena.",-0.0258
Positive and negative signs also have to be memorized for focal lengths.,-0.0258
"If the signs are opposite, go on to step 2 to determine which is positive and which is negative.",-0.0258
"Although focal lengths are always positive in the method used in this book, you should be aware that out-bending mirrors and lenses are assigned negative focal lengths in the other method, so if you see a lens labeled/=-30 cm, you’ll know what it means.",-0.0258
Step 2: Now which is the positive term and which is negative?,-0.0258
"If the signs are opposite, go on to step 2 to determine which is positive and which is negative.",-0.0258
The positive sign is used when both surface are curved outward or both are curved inward; otherwise a negative sign applies.,-0.0258
"White lines represent peaks, black lines troughs, which we can refer to as positive and negative.",-0.0258
Let’s start with the motion of light that is not interacting with matter at all.,-0.0191
"1 The Ray Model of Light

Ads for the latest Macintosh computer brag that it can do an arithmetic calculation in less time than it takes for the light to get from the screen to your eye.",0.0
"If you are reading the series in order, then you know that the climax of our study of electricity and magnetism was discovery that light is an electromagnetic wave.",0.0
"Knowing this, however, is not the same as knowing everything about eyes and telescopes.",0.0
"In fact, the full description of light as a wave can be rather cumbersome.",0.0
"The ancient Greeks, Arabs and Chinese had theories of light and vision, all of which were mostly wrong, and all of which were accepted for thousands of years.",0.0
One thing the ancients did get right is that there is a distinction between objects that emit light and objects that don’t.,0.0
"When you see a leaf in the forest, it’s because three different objects are doing their jobs: the leaf, the eye, and the sun.",0.0
"Emission of light is often, but not always, associated with heat.",0.0
"In modern times, we are familiar with a variety of objects that glow without being heated, including fluorescent lights and glow-in-the-dark toys.",0.0
How do we see luminous objects?,0.0
The Greek philosophers Pythagoras (b. ca.,0.0
560 BC) and Empedocles of Acragas (b. ca.,0.0
It explained why both the candle and your eye had to be present for your sense of sight to function.,0.0
But how can you tell?,0.0
"The most common way of distinguishing cause from effect is to determine which happened first, but the process of seeing seems to occur too quickly to determine the order in which things happened.",0.0
"Since the leaf appears green regardless of whether it is being sensed by a camera, your eye, or an insect’s eye, it seems to make more sense to say that the leaf’s greenness is the cause, and something happening in the camera or eye is the effect.",0.0
"12

Chapter 1

The Ray Model of Light





Light is a thing, and it travels from one point to another.",0.0
"Another issue that few people have considered is whether a candle’s flame simply affects your eye directly, or whether it sends out light which then gets into your eye.",0.0
"4



Light from a candle is bumped off course by a piece of glass.",0.0
Inserting the glass causes the apparent location of the candle to shift.,0.0
Newtonian physics includes both action at a distance (e.g.,0.0
a garden hose spraying out water that exerts a force on a bush).,0.0
"Many people would dismiss this kind of observation as an optical illusion, however.",0.0
"(Some optical illusions are purely neurological or psychological effects, although some others, including this one, turn out to be caused by the behavior of light itself.)",0.0
"Galileo uncovered his lantern, and when the other person saw the light, he uncovered his lantern.",0.0
"Section 1.1

The Nature of Light

13



The first person to prove that light’s speed was finite, and to determine it numerically, was Ole Roemer, in a series of measurements around the year 1675.",0.0
"Roemer observed Io, one of Jupiter’s moons, over a period of several years.",0.0
"Since Io presumably took the same amount of time to complete each orbit of Jupiter, it could be thought of as a very distant, very accurate clock.",0.0
"A practical and accurate pendulum clock had recently been invented, so Roemer could check whether the ratio of the two clocks’ cycles, about 42.5 hours to 1 orbit, stayed exactly constant or changed a little.",0.0
"Even if the speed of light was finite, you might expect that the result would be only to offset one cycle relative to the other.",0.0
"The earth does not, however, stay at a constant distance from Jupiter and its moons.",0.0
"Roemer did find a variation in the apparent speed of Io’s orbits, which caused Io’s eclipses by Jupiter (the moments when Io passed in front of or behind Jupiter) to occur about 7 minutes early when the earth was closest to Jupiter, and 7 minutes late when it was farthest.",0.0
"Based on these measurements, Roemer estimated the speed of light to be approximately 2x10s m/s, which is in the right ballpark compared to modern measurements of 3x10s m/s.",0.0
Light can travel through a vacuum.,0.0
"Although we use different organs to sense them, there are some similarities.",0.0
"For instance, both light and sound are typically emitted in all directions by their sources.",0.0
"Discussion Questions

A.",0.0
"If you observe thunder and lightning, you can tell how far away the storm is.",0.0
"Do you need to know the speed of sound, of light, or of both?",0.0
B.,0.0
"C. Why did Roemer only need to know the radius of the earth’s orbit, not Jupiter’s, in order to find the speed of light?",0.0
"The same happens with artificial light, so the net result of leaving a light turned on is to heat the room.",0.0
"This process of heating by absorption is entirely different from heating by thermal conduction, as when an electric stove heats spaghetti sauce through a pan.",0.0
"Some is reflected, and this leads us to the question of how we see nonluminous objects.",0.0
"They associate reflection with the formation of a reflected image, which does not seem to appear in a piece of paper.",0.0
"You perceive a face, not a piece of metal.",0.0
Now imagine that the foil is just a little bit less smooth.,0.0
The different parts of the image are now a little bit out of alignment with each other.,0.0
Now suppose you use a piece of aluminum foil that has been crumpled up and then flattened out again.,0.0
The parts of the image are so scrambled that you cannot recognize an image.,0.0
"Instead, your brain tells you you’re looking at a rough, silvery surface.",0.0
"Mirrorlike reflection at a specific angle is known as specular reflection, and random reflection in many directions is called diffuse reflection.",0.0
Diffuse reflection is how we see nonluminous objects.,0.0
Specular reflection only allows us to see images of objects other than the one doing the reflecting.,0.0
The lamp is one I have in my house.,0.0
"The fact that I can read a book in the position shown in the figure means that light must be bouncing off of the ceiling, then bouncing off of the book, then finally getting to my eye.",0.0
"But we now have a total of four objects: lamp, eye, book, and ceiling.",0.0
Where does the ceiling come in?,0.0
"That is, the sensation of loudness if logarithmic.",0.0
"The relevant SI unit is W/m2, although various non-SI units are still used in photography, for example.",0.0
"Discussion questions

— _

winter

►

►

►

Discussion question C.

summer



A.",0.0
"The curtains in a room are drawn, but a small gap lets light through, illuminating a spot on the floor.",0.0
What’s going on?,0.0
B. Laser beams are made of light.,0.0
Why is this scientifically incorrect?,0.0
"C. A documentary filmmaker went to Harvard’s 1987 graduation ceremony and asked the graduates, on camera, to explain the cause of the seasons.",0.0
"Only two out of 23 were able to give a correct explanation, but you now have all the information needed to figure it out for yourself, assuming you didn’t already know.",0.0
"The figure shows the earth in its winter and summer positions relative to

Chapter 1 The Ray Model of Light

16



the sun.",0.0
"More formally, this is known as the ray model of light.",0.0
The following table summarizes three models of light.,0.0
Required in order to explain the interaction of light with material objects with sizes comparable to a wavelength of light or smaller.,0.0
"particle model

Required in order to explain the interaction of light with individual atoms.",0.0
The ray model is essentially a generic one.,0.0
"Not until the last chapter will we concern ourselves specifically with wave optics, although in the intervening chapters I will sometimes analyze the same phenomenon using both the ray model and the wave model.",0.0
Note that the statements about the applicability of the various models are only rough guides.,0.0
This implies that at the smallest scales we need both the wave model and the particle model.,0.0
"They appear incompatible, so how can we simultaneously use both?",0.0
The answer is that they are not as incompatible as they seem.,0.0
"Light is both a wave and a particle, but a full understanding of this apparently nonsensical statement is a topic for the following book in this series.",0.0
Many students underutilize ray diagrams in optics and instead rely on rote memorization or plugging into formulas.,0.0
The light rays bend when then pass out through the surface of the water (a phenomenon that we’ll discuss in more detail later).,0.0
"The rays appear to have come from a point above the goldfish’s actual location, an



Examples of ray diagrams.",0.0
"18

Chapter 1

The Ray Model of Light





(b) Incorrect: implies that diffuse reflection only gives one ray from each reflecting point.",0.0
"(c) Correct, but unnecessarily complicated.",0.0
effect that is familiar to people who have tried spearfishing.,0.0
We just draw it that way.,0.0
• There is a tendency to conceptualize rays incorrectly as objects.,0.0
"• In theory, rays may continue infinitely far into the past and future, but

we need to draw lines of finite length.",0.0
"In (a), a judicious choice has been made as to where to begin and end the rays.",0.0
The only reason to draw sets of rays fanning out from more than one point would be if different things were happening to the different sets.,0.0
Draw a ray diagram to show how the fish has to correct its aim.,0.0
"Note that although the rays are now passing from the air to the water, the same rules apply: the rays are closer to being perpendicular to the surface when they are in the water, and rays that hit the air-water interface at a shallow angle are bent the most.",0.0
"Section 1.3 The Ray Model of Light

19



1.4 Geometry of Specular Reflection



To change the motion of a material object, we use a force.",0.0
Is there any way to exert a force on a beam of light?,0.0
"What actually happens is that the light is made of electric and magnetic fields, and these fields accelerate the electrons in the mirror.",0.0
This plane is known as the plane of incidence.,0.0
"Reversibility of light rays

The fact that specular reflection displays equal angles of incidence and reflection means that there is a symmetry: if the ray had come in from the right instead of the left in the figure above, the angles would have looked exactly the same.",0.0
This is not just a pointless detail about specular reflection.,0.0
This type of symmetry is called time-reversal symmetry.,0.0
"20

Chapter 1 The Ray Model of Light





Typically, time-reversal symmetry is a characteristic of any process that does not involve heat.",0.0
"We should thus expect the time-reversed versions of their orbits to obey the laws of physics, which they do.",0.0
"Similarly, the only situation we’ve observed so far where light does not obey time-reversal symmetry is absorption, which involves heat.",0.0
"People’s skin does glow in infrared light, but that doesn’t mean the situation is symmetric.",0.0
You never absorb infrared and emit visible light.,0.0
"Discussion Questions

A.",0.0
"If a light ray has a velocity vector with components cx and cy, what will happen when it is reflected from a surface in the y-z plane?",0.0
B.,0.0
How does this make the plane harder to detect with radar?,0.0
C. Three pieces of sheet metal arranged perpendicularly as shown in the figure form what is known as a radar corner.,0.0
"The dashed lines do not obey the principle of least time, and are not physically possible.",0.0
"B



C

Paths AQB and APB are two conceivable paths that a ray could travel to get from A to Bwith one reflection, but only AQB is physically possible.",0.0
We had to choose between an unwieldy explanation of reflection at the atomic level and a simpler geometric description that was not as fundamental.,0.0
"Emphasized by the twentiethcentury physicist Richard Feynman, it is called the principle of least time.",0.0
This can be rephrased as follows: a light ray in vacuum that moves from point A to point B follows the path that takes the shortest time.,0.0
What about reflection?,0.0
"If light is going to go from one point to another, being reflected on the way, the quickest path is indeed the one with equal angles of incidence and reflection.",0.0
"Not only does the principle of least time work for light in a vacuum and light undergoing reflection, we will also see in a later chapter that it works for the bending of light when it passes from one medium into another.",0.0
How does it know in advance where it’s going?,0.0
