Line,Score
"But I did not love the green, nor did I want to have to love it or pretend to love it.",-0.894
"Nonetheless, near the end of these letters, she usually includes a short paragraph that acknowledges her ongoing physical pain, and her intense grief for all she has lost, a grief she describes as bottomless.",-0.8934
"It then takes him all night to die a bloody death that inspired a rash of copycat, blue-coated suicides all over Germany and beyond.",-0.8807
I hated that time and I hated that apartment and soon after I painted everything yellow I moved out.,-0.8555
"I know that loneliness can produce bolts of hot pain, a pain which, if it stays hot enough for long enough, can begin to simulate, or to provoke—take your pick—an apprehension of the divine.",-0.836
"Viva to Louis Waldon, the other fucker in Blue Movie:

“We don’t want to see your ugly cock and balls .",-0.836
"You have to stand there in the dirty rut you dug, alone in the darkness, in all its pulsing quiet, surrounded by the scandal of corpses.",-0.8316
This is how a prince of blue becomes a pain devil.,-0.8271
"“The years of the second war, and the decades after, were a blinding, bad time for me, about which I could not say a thing even if I wanted to,” says a character in W. G. Sebald’s The Emigrants.",-0.8126
"Even more unclear are the twinned legends of Saint Medana (of Ireland) and Saint Triduana (of Scotland), two Christian princesses who were pursued by undesirable pagan lovers—lovers who professed to be unable to live without their beloveds’ beautiful blue eyes.",-0.8095
"I never aimed to give you a talisman, an empty vessel to flood with whatever longing, dread, or sorrow happened to be the day’s mood.",-0.8074
"For two years, to get her in and out of her wheelchair, we have to perform a complicated maneuver called “the transfer.” “The transfer” often sends her legs into excruciating spasms, during which time all I can do is press down on them and say, I’m sorry, I’m so sorry, until the shaking stops.",-0.802
When the pain is bad it drains her color.,-0.7783
Goethe also worries over the destructive effects of writing.,-0.7783
"See, for example, “Lady Sings the Blues”: “She’s got them bad / She feels so sad / Wants the world to know / Just what her blues is all about.” Nonetheless, as Billie Holiday knew, it remains the case that to see blue in deeper and deeper saturation is eventually to move toward darkness.",-0.7777
"After his nearly unsuccessful attempt to take his life by shooting himself in the gut, when asked why he should not be saved, he famously replied, “The sadness will last forever.” I imagine he was right.",-0.7738
"It was a terrible yellow, a yellow of utter rage.",-0.7717
"I could have written half of these propositions drunk or high, for instance, and half sober; I could have written half in agonized tears, and half in a state of clinical detachment.",-0.7579
"Someone you can still see fucking you, in the mirror, always in the mirror, crazy fucking about three feet away, in an apartment lit by blue light, never lit by daylight, this person is always fucking you from behind in blue light and you both always seem good at it, dedicated and lost unto it, as if there is no other activity on God’s given earth your bodies know how to do except fuck and be fucked like this, in this dim blue light, in this mirror.",-0.7506
"It is unclear what Holiday means, exactly, when she sings, “But now the world will know/She’s never gonna sing ’em no more/No more.” What is unclear: whether she is moving on, shutting up, or going to die.",-0.7506
"She has diffuse nerve pain along the surface of her skin which no doctor understands, pain she says makes her skin feel like crinkly, burning Saran Wrap.",-0.743
"I have met a man who is the primary grower of organic indigo in the world, and another who sings Joni Mitchell’s Blue in heartbreaking drag, and another with the face of a derelict whose eyes literally leaked blue, and I called this one the prince of blue, which was, in fact, his name.",-0.7351
"Having expected a chromatic treatise, I am embarrassed when I see the subtitle: How Women Face and Overcome Depression.",-0.7351
"The DJ played “River,” and said that its greatness lies in the fact that no woman had ever said it so clearly and unapologetically before: I’m so hard to handle, I’m selfish and I’m sad.",-0.7331
Last night I wept in a way I haven’t wept for some time.,-0.7184
But whether there is a violence at work here remains undecided.,-0.7184
"Imagine, for example, someone who fucks like a whore.",-0.7096
For my part I have no interest in catching a glimpse of or offering you an unblemished ass or an airbrushed cunt.,-0.7096
"At others, I fear I am incapable of communicating the depth of it.",-0.7003
"“I grieve that grief can teach me nothing,” wrote Emerson.",-0.7003
"I went over to the house of my injured friend and told her the story as I moved her legs in and out of the inflatable, thigh-high boots she wears to compress her legs while lying down so as to inhibit the formation of blood clots.",-0.6969
"Pharmakon means drug, but as Jacques Derrida and others have pointed out, the word in Greek famously refuses to designate whether poison or cure.",-0.6956
“Love is something so ugly that the human race would die out if lovers could see what they were doing” (Leonardo da Vinci).,-0.6948
"When I imagine a celibate man—especially one who doesn’t even jerk off—I wonder how he relates to his dick: what else he does with it, how he handles it, how he regards it.",-0.6908
"A tier of hell, to be sure—albeit one that could be potentially corrected by Viagra, one of whose side effects is to see the world tinged with blue.",-0.6808
"Stein is worried about hurt colors, I tell them.",-0.6808
"“Fortunately,” he wrote Cazalis, “I am quite dead now.”

6.",-0.6801
It cannot love me that way; it has no arms.,-0.6776
"Dionysius the Areopagite, a Syrian monk whose work and identity are themselves shrouded in obscurity, would seem to be one of the first serious Christian advocates of the idea of a “Divine Darkness.” The idea is a complicated one, as the burden falls to us to differentiate this Divine Darkness from other kinds of darknesses—that of a “dark night of the soul,” the darkness of sin, and so on.",-0.6757
"“This indicates extreme weakness of the organ, its inability to recover itself,” he observes.",-0.6705
"Consider, for example, the legend of Saint Lucy, patron saint of the blind, whose name means “clear, radiant, understandable.” What seems clear enough: in 304 AD Lucy was tortured and put to death by the Roman emperor Diocletian, and thus martyred for her Christianity.",-0.6705
Loneliness is solitude with a problem.,-0.6705
"To find oneself trapped in any one bead, no matter what its hue, can be deadly.",-0.6705
We killed the time.,-0.6705
"I could let myself be fucked mercilessly by many strangers at once, as in my first sexual fantasy: I am sent halfway across the world in a cardboard box with a lot of postage on it.",-0.6597
"“If I did not write of the difficulties under which I labor, I would fear to be misrepresenting the grinding reality of quadriplegia and spinal cord injury,” she says.",-0.6597
"But other accounts wonder whether they were in fact punishing themselves, as they knew that they had looked upon men with lust, and felt the need to employ extreme measures to avert any further temptation.",-0.6486
"And now, I think, we can say: a glass bead may flush the world with color, but it alone makes no necklace.",-0.6486
"Joan Mitchell—abstract painter of the first order, American expatriate living on Monet’s property in France, dedicated chromophile and drunk, possessor of a famously nasty tongue, and creator of arguably my favorite painting of all time, Les Bluets, which she painted in 1973, the year of my birth—found the green of spring incredibly irritating.",-0.6478
"But why bother with diagnoses at all, if a diagnosis is but a restatement of the problem?",-0.6428
"But the fact remains that I have been dreaming about these blue people for a long time—long before I knew the story of Isabelle Eberhardt, for example, who left Switzerland for North Africa as a young child, cross-dressed as a man her entire life, and eventually got lost among a mystical sect in the desert called the Qadriya before dying in a flash flood in Ain Sefra, her body “carried downstream along with scores of other corpses” and eventually crushed by a beam.",-0.6249
187.,-0.6249
"The tepid “there must be a reason for it” notion sometimes floated by religious or quasi-religious acquaintances or bystanders, is, to her, another form of violence.",-0.6249
"See John 1:5: “And the light shineth in darkness; and the darkness comprehended it not.” (As if darkness, too, had a mind.)",-0.6124
"Of course, you could also just take off the blindfold and say, I think this game is stupid, and I’m not playing it anymore.",-0.6114
"In Tender Buttons, Stein seems particularly worried about color and pain that seem to come from nowhere, for no reason.",-0.6
(Can it die?,-0.5994
"“At first glance, it seems strange to think that an innocuous, inborn behavior such as crying could be dysfunctional or symptomatic,” writes one clinical psychologist.",-0.5994
"Reading her account, I feel at once the need to die and be reborn one thousand years ago, so as to see this parade for myself.",-0.5994
"They all drowned, too.",-0.5994
"When the obscenity issue faded away, one of its fuckers, Viva, suppressed the film on the grounds that she’d never signed a release for it.",-0.5994
182.,-0.5994
We look at her skin together as she describes this pain.,-0.596
"She says, if anyone knows this pain besides me, it is you (and J, her lover).",-0.596
"She says (kindly) that she thinks we sometimes weep in front of a mirror not to inflame self-pity, but because we want to feel witnessed in our despair.",-0.5927
"Out of laziness, curiosity, or cruelty—if one can be cruel to objects—I have given them up to their diminishment.",-0.5859
Some say her eyes were tortured out of her head in her martyrdom; some say she gouged them out herself after being sentenced by the pagan emperor to be defiled in a brothel.,-0.5719
Somehow the women in the book all learn to say: That’s my depression talking.,-0.5719
"Vincent van Gogh, whose depression, some say, was likely related to temporal lobe epilepsy, famously saw and painted the world in almost unbearably vivid colors.",-0.5719
But now think of the Dutch expression: “Dat zijn maar blauwe bloempjes”—“Those are nothing but blue flowers.” In which case “blue flowers” means a pack of bald-faced lies.,-0.5719
"A few of the pillow book’s many lists: “Things that give a pathetic impression,” “Things without merit,” “People who seem to suffer.”

125.",-0.5719
"You will drown, the world tells me, has always told me.",-0.5719
"This colored reel had no bearing on the plot whatsoever, so the projectionist could choose to insert it as part of the movie or ignore it altogether.",-0.5719
"Is it a related form of aggrandizement, to inflate a heartbreak into a sort of allegory?",-0.5719
"“Though six days smoothly run, / The seventh will bring blue devils or a dun” (Byron, 1823).",-0.5719
What depression ever felt like a fire?,-0.5574
Then we fell asleep and the heat came back on and the snakes overheated and died.,-0.5574
We went to the Chelsea Hotel to fuck.,-0.5423
"Yesterday I picked up a speck of blue I’d been eyeing for weeks on the ground outside my house, and found it to be a poison strip for termites.",-0.5423
"Not only does the bowerbird collect and arrange blue objects—bus tickets, cicada wings, blue flowers, bottle caps, blue feathers plucked off smaller blue birds that he kills, if he must, to get their plumage—but he also paints his bower with juices from blue fruits, using the frayed end of a twig as a paintbrush.",-0.5423
"I was sadly troubled, afraid of that fair sight.",-0.5423
She thought it was bad for her work.,-0.5423
"The question up for debate between Socrates and Phaedrus is whether the written word kills memory or aids it—whether it cripples the mind’s power, or whether it cures it of its forgetfulness.",-0.5423
"It, too, kills the time.",-0.5423
"There is so little blue food in nature—in fact blue in the wild tends to mark food to avoid (mold, poisonous berries)—that culinary advisers generally recommend against blue light, blue paint, and blue plates when and where serving food.",-0.5267
"For a prince of blue is a prince of blue because he keeps “a pet sorrow, a blue-devil familiar, that goes with him everywhere” (Lowell, 1870).",-0.5267
"There are no instruments for measuring color; there are no “color thermometers.” How could there be, as “color knowledge” always remains contingent upon an individual perceiver?",-0.5267
"It had to be made holy, by the wicked logic that renders the expensive sacred.",-0.5267
"As her witness, I can testify to no reason, no lesson.",-0.5267
"Perhaps, in time, I will also stop missing you.",-0.5267
About color and pain.,-0.5106
"If you’re depressed, you take a pill.",-0.5106
"Perhaps I had inadvertently brushed up against the Buddhist axiom, that enlightenment is the ultimate disappointment.",-0.5106
"After reading this I polled several friends to see how much time they would grant between “a blinding, bad time” and a life that has simply become a depressive waste; the consensus was around seven years.",-0.5106
"Holiness and evilness aside, no one could rightly call blue a festive color.",-0.5106
"But as I saw neither it nor her, it would be unjust to say any more on the subject.",-0.5106
"“I always felt that there was an invisible male seducing the woman I was with, now whether this one was incarnate or merely imaginary I don’t remember.” I find this forgetting quite heartening and quite tragic, in turns.",-0.5095
"Goethe also worries about colors and pain, though his reports sound more like installments from the battlefield: “Every decided colour does a certain violence to the eye, and forces the organ to opposition.” Instantly I recognize this phenomenon to be true from my years of working in a bright orange restaurant.",-0.4951
Whether this accident be a happy or unhappy one is probably more a matter of mood than anything else; the difficulty is that “our moods do not believe in each other” (Emerson).,-0.4951
Grief?,-0.4939
Children whose vision has been damaged have been known to smash their fingers into their eyes to recreate color sensations that have been lost to them.,-0.4939
"What is unclear: why, exactly, she runs around Gothic and Renaissance paintings holding a golden dish with her blue eyes staring weirdly out from it.",-0.4939
"How could she—this is her body; its transformations, her grief.",-0.4939
"Some American Christians have been bothered by this idea of a blue people abandoned by God living in the Sahara, herding camels, traveling by night, and navigating by the stars.",-0.4939
"It will not say, Isn’t X beautiful?",-0.4847
"She had very little face, and her spine was broken in two places.",-0.4767
"After my friend’s accident, I began to think of this lady of the bruised eye and these glittering white objects with more frequency.",-0.4767
What do you call someone who fucks this way?,-0.4767
Some might also call it the source of our suffering.,-0.4767
"For Plato, color was as dangerous a narcotic as poetry.",-0.4767
This was much worse than knocking over an orchid.,-0.4767
"Often in exhaustion I lay my head down on her lap in her wheelchair and tell her how much I love her, that I’m so sorry she is in so much pain, pain I can witness and imagine but that I do not know.",-0.4765
"I don’t want to yearn for blue things, and God forbid for any “blueness.” Above all, I want to stop missing you.",-0.4588
She had not yet moved; the doctor described her as “a pebble in water.” I walked around Brooklyn and noticed that the faded periwinkle of the abandoned Mobil gas station on the corner was suddenly blooming.,-0.4588
The blue was beating.,-0.4588
"Goethe was interested in the case of “a lady, who, after a fall by which an eye was bruised, saw all objects, but especially white objects, glittering in colours, even to an intolerable degree.” This story is but one of many Goethe relates of people whose vision has been injured or altered and who seemingly never heal, even when the cause of the injury is psychological or emotional in nature.",-0.4588
I wept until I aged myself.,-0.4588
"Joan Mitchell, for one, customarily chose her pigments for their intensity rather than their durability—a choice that, as many painters know, can in time bring one’s paintings into a sorry state of decay.",-0.4588
“We don’t want to pollute our world with leftover egos” (Chögyam Trungpa).,-0.4588
"In January 2002, camping in the Dry Tortugas, on an island which is essentially an abandoned fort ninety miles north of Cuba, flipping through a copy of Nature magazine.",-0.4588
They do not signify romance.,-0.4449
Don’t fool yourself and call it sublimity.,-0.4404
I was scared.,-0.4404
"A male guppy looking for a mate doesn’t worry about whether color exists, he says.",-0.4404
Mostly I have felt myself becoming a servant of sadness.,-0.4404
"Blue-eye, archaic: “a blueness or dark circle around the eye, from weeping or other cause.”

92.",-0.4404
"It is a form of madness, albeit a common one, that we try.",-0.4404
"I remember, in the eighties, when crack first hit the scene, hearing all kinds of horror stories about how if you smoked it even once, the memory of its unbelievable high would live on in your system forever, and you would thus never again be able to be content without it.",-0.4404
"Cornell’s diary entry for February 28, 1947: “Resolve this day as before to transcend in my work the overwhelming sense of sadness that has been so binding and wasteful in past.”

209.",-0.4404
This pains me enormously.,-0.4215
"I recognized this as a rite of decadence, but I did not know how to stop it.",-0.4215
This is the dysfunction talking.,-0.4215
"Delirium tremens used to be called the “blue devils,” as in “my bitter hours of blue-devilism” (Burns, 1787).",-0.4215
The part I do remember: that the blue of the sky depends on the darkness of empty space behind it.,-0.4215
"That month I touched myself every night in my narrow bed and came thinking of you, knowing all the while that I was planting the seeds of a fresh disaster.",-0.4215
"Likewise, it leads neither toward justice nor away from it.",-0.4168
"But not, to be honest, because of its blues.",-0.4023
He knew he was dying; he could have chosen to work on any philosophical problem under the sun.,-0.4019
"I’ve heard that a diminishment of color vision often accompanies depression, though I do not have any idea how or why such a thing is neurologically possible.",-0.4019
"(Aristotle pointed out that this hypothesis runs into trouble at night, as objects become invisible despite the eyes’ purported power.)",-0.4019
“Enthusiastically hurting a clouded yellow bud and saucer.” “A cool red rose and a pink cut pink.” As if color could be further revealed by slitting.,-0.4019
Over time my injured friend’s feet have become blue and smooth from disuse.,-0.4019
In which case seeking itself is a spiritual error.,-0.4019
And it must also be admitted that hitting the wall or wandering off in the wrong direction or tearing off the blindfold is as much a part of the game as is pinning the tail on the donkey.,-0.4019
"But there is one other important candidate: Warhol’s Blue Movie, otherwise known as Fuck.",-0.4019
"But one can lose the memory of whiteness, too.",-0.4019
"He got this tattoo to commemorate the night that all of his snakes died, a winter night in Connecticut when it was so cold and the heat shut off, so he put as many lights as possible against the snakes’ cage to try to keep them warm.",-0.4019
"A few months later, back at home, I read somewhere else that this result was in error, due to a computer glitch.",-0.4019
l’Azur!”) Heinrich knows his obsession is a little singular: “For who would be so concerned about a flower in this world?,-0.4003
"“Oh, how often have I cursed those foolish pages of mine which made my youthful sufferings public property!” Goethe wrote years after the publication of The Sorrows of Young Werther.",-0.4003
Shock?,-0.3818
"This particular conversation with the expert on guppy menopause takes place on a day when, later that afternoon, a therapist will say to me, If he hadn’t lied to you, he would have been a different person than he is.",-0.3818
86.,-0.3818
It calms me to think of blue as the color of death.,-0.3818
"For distinct reasons, which had to do with the fight to keep the cheap, slave-labor crop of indigo out of a Western market long dominated by woad, the blue-dye-producing plant native to Europe, indigo blue was called “the devil’s dye.” And before blue became a “holy” color—which had to do with the advent of ultramarine in the twelfth century, and its subsequent use in stained glass and religious paintings—it often symbolized the Antichrist.",-0.3818
"For some, the emptiness itself is God; for others, the space must stay empty.",-0.3818
"The disaster did not come then, but it did come later.",-0.3716
But the unutterable will be—unutterably—contained in what has been uttered!” Perhaps this is why I take the blues of Cézanne so seriously.,-0.3681
"For the rest of our lives, barring blunted or blinded sight, we find ourselves face-to-face with all these phenomena at once, and we call the whole shimmering mess “color.” You might even say that it is the business of the eye to make colored forms out of what is essentially shimmering.",-0.3612
“Why should I feel lonely?,-0.3612
"It “loves me when I’m lonely / And thinks of me first,” sings Lucinda Williams.",-0.3612
"But as I lay out my collection now, what strikes me most is its anemia—an anemia that seems to stand in direct proportion to my zeal.",-0.3612
"“Nine days out of ten,” wrote Merleau-Ponty of Cézanne, “all he saw around him was the wretchedness of his empirical life and of his unsuccessful attempts, the debris of an unknown celebration.”

237.",-0.3612
Fucking may in no way interfere with the actual use of language.,-0.3535
"“If the health warning isn’t enough to put you off cigarettes, the nicotine-ravaged vocals of the once angelic, now gasping Joni Mitchell should,” one reviewer recently wrote.",-0.34
"In German, to be blue—blau sein—means to be drunk.",-0.34
"Ah daddy, I wanna stay drunk many days, he wrote, and did.",-0.34
I suppose I am avoiding writing down too many specific memories of you for similar reasons.,-0.34
"Did I have this double meaning in mind when I told you, a little over a year ago, after it became clear that I would lose you, or that I had already lost you, that you were “etched into my heart”?",-0.34
"In particular, he worries over how to “keep the essential quality [of the thing] still living before us, and not to kill it with the word.” I must admit, I no longer worry much about such things.",-0.3318
"I have no idea if this is true, but I will admit that it scared me off the drug.",-0.3291
"You might want to reach out and disturb the pile of pigment, for example, first staining your fingers with it, then staining the world.",-0.3182
"I had no idea how true it would prove, or how painful, outside of the fucking.",-0.3182
"Sitting in my office before teaching a class on prosody, trying not to think about you, about my having lost you.",-0.3182
Your loss.,-0.3182
"Many now believe him to be, essentially, a “rhetorical fiction.”

74. Who, nowadays, watches the light stream through the walls of her “dark chamber” with the company of a phantasmagoric assistant, or smashes at her eyes to reproduce lost color sensations, or stays up all night watching colored shadows drift across the walls?",-0.3182
"It is always taking care, but it is difficult, because at times to take care of her is also to cause her pain.",-0.3182
"But here we are in great danger—the danger of being jealous of the blues of others, or of blues of times past.",-0.3182
"Then, the first time I saw them myself, I felt despair.",-0.3182
"The next season, I felt despair again.",-0.3182
"And so we arrive at one instance, and then another, upon which blue delivered a measure of despair.",-0.3182
"I am not overly interested in the matte stone of turquoise, for example, and a tepid, faded indigo usually leaves me cold.",-0.3089
The Encyclopedia does not help.,-0.3089
"We fucked for six hours straight that afternoon, which does not seem precisely possible but that is what the clock said.",-0.3071
"For no one really knows what color is, where it is, even whether it is.",-0.296
"The confusion about what color is, where it is, or whether it is persists despite thousands of years of prodding at the phenomenon.",-0.296
"Is your blue sofa still blue when you stumble past it on your way to the kitchen for water in the middle of the night; is it still blue if you don’t get up, and no one enters the room to see it?",-0.296
But I had no money.,-0.296
"“There is simply no way that a year from now you’re going to feel the way you feel today,” a different therapist said to me last year at this time.",-0.296
But perhaps there is no real mystery here at all.,-0.296
"Though no junkie, Joni Mitchell, too, now consistently bears the “ravaged” epithet.",-0.296
"As one optics journal puts it, “The color of any planetary atmosphere viewed against the black of space and illuminated by a sunlike star will also be blue.” In which case blue is something of an ecstatic accident produced by void and fire.",-0.296
There is no basis for it in the Scriptures.,-0.296
For blue has no mind.,-0.296
But a bouquet is no homage to the bush.,-0.296
"But Eden, she said, there’s no Eden.",-0.296
"Another form of aggrandizement: to make a substance into a god, even if one eventually condemns it as a false one.",-0.296
"In which case, how does one know when, or how, to refuse?",-0.296
She has no time for it.,-0.296
They were sent by no one in celebration of nothing.,-0.296
"Stop working against the world, I counseled myself.",-0.296
"“One thing they don’t tell you ’bout the blues when you got ’em, you keep on fallin’ ’cause there ain’t no bottom,” sings Emmylou Harris, and she may be right.",-0.296
"In any case, I am no longer counting the days.",-0.296
But I am not interested in longing to live in a world in which I already live.,-0.2924
"For starters, words do not look like the things they designate (Maurice Merleau-Ponty).",-0.2755
She does not agree.,-0.2755
"On September 21, 2001, for example, George Bush II told the country that the time for grief had passed, and the time for resolute action had taken its place.",-0.2732
"But when my students complain that they want to throw Tender Buttons across the room, I try to explain to them that in it Stein is dealing with a matter of pressing concern.",-0.2732
"How to take it off: I could drink every single drop of alcohol in my house, which includes the rest of this beer and a bottle of Maker’s Mark.",-0.2732
"Using scissors and tape, Cornell cut East of Borneo down from 77 minutes to 191/2, focusing fairly exclusively on shots of Rose Hobart, the movie’s spunky female lead.",-0.2732
"Perhaps this is why I am avoiding writing about too many specific blue things—I don’t want to displace my memories of them, nor embalm them, nor exalt them.",-0.2732
"And since no one has yet been able to discern the material of these traces, nor to locate them in the brain, how one thinks of them remains mostly a matter of metaphor: they could be “scribbles,” “holograms,” or “imprints”; they could live in “spirals,” “rooms,” or “storage units.” Personally, when I imagine my mind in the act of remembering, I see Mickey Mouse in Fantasia, roving about in a milky, navy-blue galaxy shot through with twinkling cartoon stars.",-0.2732
Simone Weil warned otherwise.,-0.2732
"Perhaps this is because she remains so generous within hers, and because she has never held any hierarchy of grief, either before her accident or after, which seems to me nothing less than a form of enlightenment.",-0.2637
"Why is there so much useless suffering.” About blue itself, Stein offers but this koan: “Every bit of blue is precocious.”

111.",-0.2591
"So be it, she said, and left me to sob with my face against the blue slate floor.",-0.25
She incubates the eggs alone.,-0.25
"“It haunts me.” (Mallarmé, too: “Je suis hanté.",-0.25
Also unclear: the source of her triumphance.,-0.25
"If you grow accustomed to wall-to-wall, even the slightest shred of mystery or plot can become an agitation.",-0.25
"“We’re only given as much as the heart can endure,” “What does not kill you makes you stronger,” “Our sorrows provide us with the lessons we most need to learn”: these are the kinds of phrases that enrage my injured friend.",-0.2411
"To rid herself of the unwanted attention, Medana supposedly plucked her eyes out and threw them at her suitor’s feet; Triduana was slightly more inventive, and tore hers out with a thorn, then sent them to her suitor on a skewer.",-0.2263
"He builds competitively, stealing treasures from other birds, sometimes trashing their bowers entirely.",-0.2263
"Can blue solve the problem, or can it at least keep me company within it?—No, not exactly.",-0.2263
"The tears not only aged my face, they also changed its texture, turned the skin of my cheeks into putty.",-0.2263
"But the light is clearly destroying some of the objects, or at least bleaching out their blues.",-0.2263
Are you sure—one would like to ask—that it cannot love you back?,-0.2187
"Then (looking into an empty teacup, its bottom stained with thin brown excrement coiled into the shape of a sea horse) it became somehow personal.",-0.2023
"Well, I’m tired / of them”: the last words of William Carlos Williams’s English grandmother.",-0.2023
"But, this psychologist insists, we must face the fact that some crying is simply “maladaptive, dysfunctional, or immature.”

94.—Well then, it is as you please.",-0.2023
"“Drinking when you are depressed is like throwing kerosene on a fire,” I read in another self-help book at the bookstore.",-0.2023
"The religious zealots of the Reformation felt similarly: they smashed the stained-glass windows of churches, thinking them idolatrous, degenerate.",-0.2023
I admit that I may have been lonely.,-0.1779
It was shaking.,-0.1779
"No matter what happens to our bodies in our lifetimes, no matter if they become like “pebbles in water,” they remain ours; us, theirs.",-0.1779
You don’t go looking for a party in a color that hospitals have used to calm crying infants or sedate the emotionally disturbed.,-0.1779
"Later I learned that nearly all cultures have considered yellow in isolation one of, if not the least attractive of all colors.",-0.1679
"I would even go so far as to say that I do not know how to compose otherwise, which makes writing in a prism of solitude, as I am here, a somewhat novel and painful experiment.",-0.1604
"It is, perhaps, my way of making my life feel “in progress” rather than a sleeve of ash falling off a lit cigarette.",-0.1531
"So I stayed behind, and became known as the lady who waits, the sad sack of town with hair that smells like an animal.",-0.1531
"Once I traveled to the Tate in London to see the blue paintings of Yves Klein, who invented and patented his own shade of ultramarine, International Klein Blue (IKB), then painted canvases and objects with it throughout a period of his life he dubbed “l’epoque bleue.” Standing in front of these blue paintings, or propositions, at the Tate, feeling their blue radiate out so hotly that it seemed to be touching, perhaps even hurting, my eyeballs, I wrote but one phrase in my notebook: too much.",-0.1531
This is how much I miss you talking.,-0.1531
But please don’t write again to tell me how you have woken up weeping.,-0.1531
"The whole apparatus is now falling apart—the stitches peeling off, the words fading.",-0.1531
"It often happens that we treat pain as if it were the only real thing, or at least the most real thing: when it comes round, everything before it, around it, and, perhaps, in front of it, tends to seem fleeting, delusional.",-0.1531
"Then, one day, it became more serious.",-0.1513
"To hear it is to understand why suicide is both so easy and so difficult: to commit it one has to stamp out this native triumphance, either by training oneself, over time, to dehabilitate or disbelieve it (drugs help here), or by force of ambush.",-0.1501
"In 1867, after a long bout of solitude, the French poet Stéphane Mallarmé wrote to his friend Henri Cazalis: “These last months have been terrifying.",-0.128
"Much of this writing is urgent, opaque, and uncharacteristically boring.",-0.128
"I can think of many occasions on which a blue has made me feel suddenly hopeful (turning one’s car around a sharp curve on a precipice and abruptly finding ocean; flipping on the light in a stranger’s bathroom one presumed to be white but which was, in fact, robin-egg blue; coming across a collection of navy blue bottle tops pressed into cement on the Williamsburg Bridge, or a shining mountain of broken blue glass outside a glass factory in Mexico), but for the moment, I can’t think of any times that blue has caused me to despair.",-0.128
I have been finding this hard to do.,-0.128
"This is generous, for to be close to her pain has always felt like a privilege to me, even though pain could be defined as that which we typically aim to avoid.",-0.128
"“How clearly I have seen my condition, yet how childishly I have acted,” says Goethe’s sorrowful young Werther.",-0.128
"It’s cruel to keep the mouse alive, he said, just because the snake has lost interest.",-0.128
"Clearly I am not a private person, and quite possibly I am a fool.",-0.1189
"But as compelling as this paradox, or this experiment, may be, I am not as interested in it as I am in the fact that in Christian iconography, this “dazzling darkness” appears with startling regularity as blue.",-0.1174
Such demands are murderous to beauty.,-0.1027
"Over time, however, many have questioned whether this assistant ever really existed.",-0.1027
"I believe in the possibility—the inevitability, even—of a fresh self stepping into ever-fresh waters, as in the variant: “No man ever steps into the same river twice, for it’s not the same river and he’s not the same man.” But I also sense something in Heraclitus’s fragment that allows for the possibility of a mouse shocking its snout on a hunk of electrified cheese over and over again in a kind of static eternity.",-0.1027
"Goethe wrote Theory of Colours in a period of his life described by one critic as “a long interval, marked by nothing of distinguished note.” Goethe himself describes the period as one in which “a quiet, collected state of mind was out of the question.” Goethe is not alone in turning to color at a particularly fraught moment.",-0.0926
I must admit that not all blues thrill me.,-0.0798
